game,team,name,position,number,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
II1,Forge FC,Alexander Achinioti-Jönsson,m,13.0,Alexander,Achinioti-Jönsson,90,48,38,78.9,0,0.0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,2,0,0,0,0,0
II1,Forge FC,Anthony Novak,f,23.0,Anthony,Novak,66,24,14,57.1,0,0.0,0,0,1,1,1,1,0,0,0,7,3,0,0,0,0,1,1,0,0,0,0
II1,Forge FC,Christopher Nanco,f,11.0,Chris,Nanco,66,9,3,33.3,0,0.0,0,0,0,1,1,0,1,0,0,10,1,0,0,0,0,0,2,0,0,0,0
II1,Forge FC,Daniel Krutzen,d,5.0,Daniel,Krutzen,90,70,56,60.7,1,0.0,0,1,0,0,0,0,0,2,2,13,6,4,3,1,0,2,3,0,0,0,0
II1,Forge FC,David Choinière,m,7.0,David,Choinière,45,24,12,100.0,1,100.0,1,1,0,1,0,1,0,1,0,7,3,0,0,0,0,2,1,0,0,0,0
II1,Forge FC,David Edgar,d,30.0,David,Edgar,90,68,53,77.4,0,0.0,0,0,0,0,0,0,0,3,2,5,4,5,3,0,0,0,0,0,0,0,0
II1,Forge FC,Dominic Samuel,d,4.0,Dominic,Samuel,12,7,3,100.0,0,0.0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,1,1,0,0,0,0
II1,Forge FC,Jonathan Grant,d,2.0,Jonathan,Grant,78,47,25,76.0,1,0.0,0,1,0,0,0,0,0,0,0,10,2,5,0,1,0,1,4,0,0,0,0
II1,Forge FC,Kadell Thomas,f,17.0,Kadell,Thomas,24,17,7,85.7,1,0.0,0,1,0,1,0,1,0,1,0,8,3,0,0,0,0,0,1,0,0,0,0
II1,Forge FC,Kwame Awuah,d,6.0,Kwame,Awuah,90,55,32,62.5,0,0.0,0,0,0,0,0,0,0,2,1,10,5,5,2,0,0,0,2,0,0,0,0
II1,Forge FC,Kyle Bekker,m,10.0,Kyle,Bekker,90,47,36,80.6,2,0.0,0,0,1,3,2,1,2,0,0,10,5,1,1,0,0,3,0,0,0,0,0
II1,Forge FC,Marcel Zajac,f,9.0,Marcel,Zajac,45,15,7,71.4,1,0.0,0,0,0,1,0,1,0,0,0,6,3,1,0,1,0,2,1,0,0,0,0
II1,Forge FC,Maxim Tissot,d,15.0,Maxim,Tissot,10,10,7,42.9,1,0.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
II1,Forge FC,Molham Babouli,f,19.0,Mo,Babouli,24,12,6,100.0,0,0.0,0,0,0,0,0,0,0,1,1,4,3,1,0,0,0,0,0,0,0,0,0
II1,Forge FC,Paolo Sabak,m,24.0,Paolo,Sabak,80,45,32,84.4,1,0.0,0,2,0,1,0,0,1,0,0,10,6,1,1,0,0,4,1,0,0,0,0
II1,Forge FC,Triston Henry,g,1.0,Triston,Henry,90,43,31,64.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0
II1,Cavalry FC,Aribim Pepple,f,24.0,Aribim,Pepple,10,5,3,33.3,0,0.0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
II1,Cavalry FC,Bruno Zebie,m,16.0,Bruno,Zebie,5,8,5,80.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
II1,Cavalry FC,Dominick Zator,d,4.0,Dominick,Zator,90,60,41,75.6,0,0.0,0,0,1,2,2,2,0,2,1,15,12,1,0,0,0,1,1,0,0,0,0
II1,Cavalry FC,Elijah Adekugbe,m,8.0,Elijah,Adekugbe,79,56,41,90.2,2,50.0,0,2,0,0,0,0,0,1,1,7,4,0,3,1,0,2,3,0,0,0,0
II1,Cavalry FC,Elliot Simmons,m,15.0,Elliot,Simmons,11,12,10,60.0,1,0.0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0
II1,Cavalry FC,Jonathan Wheeldon,d,14.0,Jay,Wheeldon,90,71,58,74.1,0,0.0,0,0,0,1,0,0,1,0,0,9,4,8,0,0,0,0,2,0,0,0,0
II1,Cavalry FC,Jordan Brown,f,9.0,Jordan,Brown,66,14,10,60.0,0,0.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
II1,Cavalry FC,Marco Carducci,g,1.0,Marco,Carducci,90,32,24,79.2,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,2,0,0
II1,Cavalry FC,Marcus Haber,f,29.0,Marcus,Haber,24,14,11,54.5,1,0.0,0,0,0,1,1,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0
II1,Cavalry FC,Mason Trafford,d,5.0,Mason,Trafford,90,58,55,80.0,0,0.0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,1,0,0,0,0,0
II1,Cavalry FC,Mohamed Farsi,d,21.0,Mohamed,Farsi,10,4,3,66.7,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II1,Cavalry FC,Nathan Mavila,d,3.0,Nathan,Mavila,90,51,27,74.1,2,100.0,0,1,1,1,1,1,0,1,1,13,7,0,1,0,0,2,4,0,0,0,0
II1,Cavalry FC,Nico Pasquotti,f,17.0,Nico,Pasquotti,90,56,29,72.4,5,0.0,0,0,0,1,1,0,1,2,2,15,8,1,1,0,0,2,2,0,0,0,0
II1,Cavalry FC,Nikolas Ledgerwood,m,6.0,Nik,Ledgerwood,85,41,25,68.0,3,66.7,1,2,0,3,1,1,2,3,3,15,6,0,0,0,0,2,3,0,0,0,0
II1,Cavalry FC,Oliver Minatel,f,7.0,Oliver,Minatel,80,34,26,65.4,0,0.0,0,3,0,1,0,0,1,0,0,9,5,2,0,0,0,3,2,0,0,0,0
II1,Cavalry FC,Sergio Camargo,m,10.0,Sergio,Camargo,80,37,22,72.7,3,0.0,0,0,0,2,0,0,2,1,1,6,4,0,0,0,0,1,0,0,0,0,0
II2,York9 FC,Diyaeddine Abzi,d,20.0,Diyaeddine,Abzi,84,55,34,79.4,1,0.0,0,1,0,2,1,2,0,2,2,10,6,1,2,0,0,2,1,0,0,0,0
II2,York9 FC,Gabriel Monteiro Vasconcelos,f,99.0,Gabriel,Vasconcelos,54,13,8,75.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
II2,York9 FC,Ijah Halley,d,14.0,Ijah,Halley,6,13,5,60.0,0,0.0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,2,1,0,0,0,0
II2,York9 FC,Joseph Di Chiara,m,8.0,Joseph,Di Chiara,90,58,41,78.0,4,50.0,0,2,1,3,1,1,2,2,2,14,7,0,0,1,0,4,4,0,0,0,0
II2,York9 FC,Kyle Porter,m,19.0,Kyle,Porter,90,57,34,97.1,9,33.3,0,2,0,0,0,0,0,1,1,5,3,0,1,0,0,1,0,0,0,0,0
II2,York9 FC,Lowell Wright,f,80.0,Lowell,Wright,36,11,5,60.0,0,0.0,0,0,1,2,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
II2,York9 FC,Luca Gasparotto,d,13.0,Luca,Gasparotto,90,59,46,82.6,0,0.0,0,0,0,1,0,1,0,1,0,11,10,3,3,0,0,2,0,0,0,0,0
II2,York9 FC,Matthew Arnone,d,17.0,Matthew,Arnone,53,29,23,78.3,0,0.0,0,0,0,0,0,0,0,1,1,3,2,1,2,0,0,1,1,0,0,0,0
II2,York9 FC,Max Ferrari,m,16.0,Max,Ferrari,36,20,14,71.4,4,50.0,0,1,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
II2,York9 FC,Morey Doner,d,3.0,Morey,Doner,90,67,35,77.1,8,25.0,0,1,0,0,0,0,0,0,0,4,3,0,5,0,0,1,0,0,0,0,0
