team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall
FCE,Mélé Temguia,8,d,360,0,14,11,9,9,47,28,0.75
FFC,Kwame Awuah,6,d,292,1,12,8,8,6,39,26,0.67
PFC,Kadin Chung,7,d,270,0,13,11,7,4,43,31,0.64
FFC,Daniel Krutzen,5,d,360,0,7,5,16,7,41,24,0.6
Y9,Roger Thompson,6,d,360,0,6,4,19,10,33,22,0.6
HFX,Chrisnovic N'Sa,6,d,270,0,11,10,10,5,40,21,0.59
HFX,Peter Schaale,2,d,360,0,8,5,22,7,31,16,0.58
Y9,Luca Gasparotto,13,d,360,0,7,4,21,8,25,19,0.57
PFC,Lukas MacNaughton,6,d,270,1,6,3,17,4,36,24,0.56
FFC,Dominic Samuel,4,d,280,0,10,2,7,4,50,31,0.54
CFC,Dominick Zator,4,d,360,1,5,3,6,1,38,25,0.5
FCE,Jeannot Esua,3,d,347,0,2,2,14,7,40,19,0.49
FCE,Ramon Soria,5,d,360,0,5,4,13,6,30,17,0.49
FFC,David Edgar,30,d,360,0,5,3,24,5,21,14,0.49
CFC,Nathan Mavila,3,d,270,2,2,2,3,3,38,16,0.46
VFC,Andrew Jean-Baptiste,35,d,360,1,1,1,15,7,22,12,0.46
VFC,Julian Dunn-Johnson,5,d,360,0,8,2,9,2,30,17,0.43
FCE,Allan Zebie,4,d,322,0,6,6,0,6,26,15,0.42
Y9,Diyaeddine Abzi,20,d,259,0,6,4,6,7,25,13,0.41
HFX,Jems Geffrard,3,d,360,0,4,3,13,4,20,14,0.41
ATO,Gianfranco Facchineri,6,d,180,0,9,8,8,2,18,12,0.39
HFX,Mateo Restrepo,14,d,193,0,8,6,5,6,19,11,0.39
PFC,Thomas Meilleur-Giguère,26,d,270,0,1,1,14,11,15,5,0.36
Y9,Morey Doner,3,d,360,0,1,1,5,9,20,9,0.35
ATO,Milovan Kapor,3,d,154,0,3,3,12,8,16,7,0.33
CFC,Robert Boskovic,25,d,225,0,5,1,3,5,23,13,0.31
ATO,Evan Brandon John,4,d,270,0,3,2,8,3,17,12,0.3
PFC,Marcel de Jong,17,d,155,0,2,2,11,8,12,8,0.3
HFX,Alex De Carolis,24,d,171,0,6,5,1,2,16,12,0.28
CFC,Mason Trafford,5,d,270,0,2,1,6,3,15,12,0.27
CFC,Dean Northover,12,d,180,0,4,2,3,3,18,13,0.26
CFC,Mohamed Farsi,21,d,165,0,3,3,5,3,15,10,0.25
PFC,Jordan Haynes,3,d,122,0,5,2,3,4,16,9,0.24
CFC,Jonathan Wheeldon,14,d,180,0,1,0,9,3,13,7,0.21
FCE,Duran Lee,23,d,78,0,5,3,3,0,17,11,0.2
FCE,Kareem Moses,12,d,139,0,3,1,10,1,12,5,0.2
FCE,Samuel Gardner,33,d,82,0,4,3,2,3,14,7,0.2
FFC,Maxim Tissot,15,d,113,0,3,2,1,1,20,5,0.17
HFX,Jake Ruby,20,d,102,0,3,3,4,0,15,6,0.17
ATO,Vashon Neufville,44,d,140,0,2,1,1,2,14,4,0.15
FCE,Terique Mohammed,57,d,78,0,3,1,6,0,12,7,0.15
FFC,Monti Mohsen,22,d,45,0,2,2,2,0,8,5,0.1
VFC,Arnold Bouka Moutou,29,d,65,0,2,1,0,1,10,5,0.1
Y9,Fugo Segawa,26,d,95,0,1,1,1,1,9,4,0.1
Y9,Ijah Halley,14,d,64,0,1,1,0,0,12,5,0.09
FFC,Jonathan Grant,2,d,78,0,0,0,5,0,10,2,0.08
Y9,Matthew Arnone,17,d,62,0,1,1,1,2,3,2,0.08
HFX,Daniel Kinumbe,13,d,45,0,1,1,0,1,6,4,0.07
FFC,Jordan Dunstan,21,d,0,0,2,2,1,1,4,2,0.07
ATO,Jarred Phillips,14,d,36,0,1,1,1,0,4,1,0.05
FCE,Amer Didic,55,d,61,0,0,0,2,0,3,2,0.04
FFC,Klaidi Cela,16,d,2,0,0,0,0,0,2,0,0.0
