game,team,position,number,name,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
I2,Pacific FC,g,1,Mark Village,Mark,Village,90.00,36.00,26.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,2.00,1.00,1.00
I2,Pacific FC,m,17,Matthew Baldisimo,Matthew,Baldisimo,72.00,54.00,46.00,0.91,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,9.00,4.00,0.00,1.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00
I2,Pacific FC,m,23,Noah Verhoeven,Noah,Verhoeven,90.00,81.00,66.00,0.82,2.00,0.50,1.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,10.00,7.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
I2,Pacific FC,d,3,Ryan McCurdy,Ryan,McCurdy,16.00,11.00,8.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
I2,Pacific FC,f,14,Terran Campbell,Terran,Campbell,74.00,33.00,21.00,0.86,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,7.00,2.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I2,Pacific FC,m,19,Victor Blasco,Victor,Blasco,56.00,34.00,21.00,0.67,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,5.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,m,11,Akeem Garcia,Akeem,Garcia,90.00,31.00,22.00,0.64,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,m,18,Andre Rampersad,Andre,Rampersad,71.00,34.00,24.00,0.96,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,4.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,d,3,André Bona,André,Bona,30.00,25.00,15.00,0.80,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,4.00,3.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,d,6,Chrisnovic N'sa,Chrisnovic,N'sa,90.00,66.00,52.00,0.85,1.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,3.00,3.00,11.00,7.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,m,5,Elton John,Elton,John,90.00,78.00,61.00,0.84,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,2.00,1.00,14.00,9.00,2.00,2.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,g,21,Jan-Michael Williams,Jan-Michael,Williams,90.00,25.00,18.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00
I2,HFX Wanderers FC,m,7,Juan Diego Gutiérrez,Juan,Diego Gutiérrez,90.00,41.00,31.00,0.84,2.00,0.00,0.00,1.00,0.00,2.00,0.00,1.00,1.00,2.00,2.00,11.00,3.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,m,9,Kodai Iida,Kodai,Iida,19.00,21.00,13.00,1.00,1.00,1.00,0.00,2.00,0.00,2.00,0.00,0.00,2.00,2.00,1.00,5.00,5.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,m,13,Kouamé Ouattara,Kouamé,Ouattara,8.00,7.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,f,12,Mohamed Kourouma,Mohamed,Kourouma,82.00,44.00,21.00,0.81,9.00,0.33,0.00,2.00,0.00,2.00,0.00,1.00,1.00,1.00,1.00,8.00,4.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,d,20,Ndzemdzela Langwa,Ndzemdzela,Langwa,90.00,83.00,45.00,0.82,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,7.00,20.00,15.00,3.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,d,2,Peter Schaale,Peter,Schaale,90.00,56.00,44.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,7.00,5.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,f,17,Tomasz Skublak,Tomasz,Skublak,60.00,25.00,14.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,6.00,0.00,1.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00
I2,HFX Wanderers FC,d,25,Zachary Sukunda,Zachary,Sukunda,90.00,53.00,37.00,0.87,1.00,0.00,0.00,2.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,3.00,1.00,3.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I3,Pacific FC,m,13,Ahmed Alghamdi,Ahmed,Alghamdi,4.00,6.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I3,Pacific FC,m,21,Ben Fisk,Ben,Fisk,77.00,52.00,28.00,0.64,4.00,0.00,0.00,2.00,0.00,4.00,1.00,1.00,3.00,1.00,1.00,11.00,6.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00
I3,Pacific FC,d,4,Blake Smith,Blake,Smith,90.00,89.00,52.00,0.83,6.00,0.17,0.00,1.00,0.00,1.00,0.00,0.00,1.00,4.00,2.00,8.00,8.00,5.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
I3,Pacific FC,d,20,Emile Legault,Emile,Legault,90.00,59.00,44.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,3.00,7.00,6.00,4.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
I3,Pacific FC,f,15,Jose Hernandez,José,Hernández,86.00,51.00,25.00,0.72,0.00,0.00,0.00,0.00,1.00,2.00,1.00,2.00,0.00,4.00,4.00,20.00,10.00,1.00,1.00,0.00,0.00,5.00,3.00,0.00,0.00,0.00,0.00
I3,Pacific FC,d,7,Kadin Chung,Kadin,Chung,90.00,59.00,30.00,0.90,4.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,7.00,4.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I3,Pacific FC,f,9,Marcus Haber,Marcus,Haber,90.00,45.00,28.00,0.75,2.00,0.50,0.00,3.00,0.00,7.00,2.00,7.00,0.00,0.00,0.00,22.00,14.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
I3,Pacific FC,g,1,Mark Village,Mark,Village,90.00,39.00,31.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,0.00,0.00
I3,Pacific FC,m,17,Matthew Baldisimo,Matthew,Baldisimo,90.00,58.00,42.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,8.00,5.00,1.00,4.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00
I3,Pacific FC,m,23,Noah Verhoeven,Noah,Verhoeven,90.00,67.00,41.00,0.83,7.00,0.14,0.00,4.00,0.00,1.00,0.00,1.00,0.00,2.00,2.00,13.00,6.00,1.00,2.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00
I3,Pacific FC,d,3,Ryan McCurdy,Ryan,McCurdy,90.00,57.00,41.00,0.61,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,11.00,9.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I3,Pacific FC,f,14,Terran Campbell,Terran,Campbell,54.00,22.00,11.00,0.82,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,5.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00
I3,Pacific FC,m,19,Victor Blasco,Victor,Blasco,36.00,30.00,13.00,0.69,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,2.00,1.00,13.00,5.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00
I3,Pacific FC,m,16,Zachary Verhoven,Zachary,Verhoven,13.00,9.00,5.00,0.80,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I3,Valour FC,d,15,Adam Mitter,Adam,Mitter,1.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I3,Valour FC,m,8,Diego Gutiérrez,Diego,Gutiérrez,90.00,89.00,52.00,0.67,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,12.00,5.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I3,Valour FC,m,10,Dylan Carreiro,Dylan,Carreiro,24.00,9.00,4.00,0.50,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,2.00,0.00,0.00,2.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
I3,Valour FC,m,7,Dylan Sacramento,Dylan,Sacramento,89.00,52.00,26.00,0.58,3.00,0.33,1.00,2.00,0.00,3.00,1.00,1.00,2.00,5.00,3.00,17.00,6.00,0.00,1.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00
I3,Valour FC,d,4,Jordan Murrell,Jordan,Murrell,90.00,43.00,29.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,9.00,4.00,8.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
I3,Valour FC,m,20,Josip Golubar,Josip,Golubar,90.00,51.00,35.00,0.69,0.00,0.00,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.00,0.00,17.00,6.00,0.00,1.00,0.00,0.00,2.00,5.00,0.00,0.00,0.00,0.00
I3,Valour FC,m,5,Louis Béland-Goyette,Louis,Béland-Goyette,90.00,49.00,37.00,0.65,3.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,11.00,4.00,0.00,4.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
I3,Valour FC,d,6,Martín Arguiñarena,Martín,Arguiñarena,90.00,50.00,31.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,13.00,9.00,2.00,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00
I3,Valour FC,m,9,Michael Petrasso,Michael,Petrasso,90.00,40.00,20.00,0.70,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,17.00,4.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
I3,Valour FC,m,14,Nicolás Galvis,Nicolás,Galvis,79.00,45.00,30.00,0.70,4.00,0.25,0.00,1.00,0.00,2.00,0.00,2.00,0.00,1.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I3,Valour FC,d,3,Skylar Thomas,Skylar,Thomas,90.00,34.00,21.00,0.86,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,12.00,5.00,5.00,2.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
I3,Valour FC,f,17,Stephen Hoyle,Stephen,Hoyle,66.00,36.00,22.00,0.50,1.00,1.00,0.00,1.00,1.00,4.00,1.00,4.00,0.00,1.00,1.00,9.00,3.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00
I3,Valour FC,f,16,Tyler Attardo,Tyler,Attardo,11.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I3,Valour FC,g,1,Tyson Farago,Tyson,Farago,90.00,49.00,33.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,4.00,0.00
I4,HFX Wanderers FC,m,11,Akeem Garcia,Akeem,Garcia,90.00,46.00,24.00,0.79,4.00,0.00,0.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,13.00,6.00,0.00,1.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00
I4,HFX Wanderers FC,m,18,Andre Rampersad,Andre,Rampersad,27.00,16.00,11.00,0.73,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I4,HFX Wanderers FC,d,3,André Bona,André,Bona,90.00,74.00,36.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,12.00,11.00,5.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
I4,HFX Wanderers FC,d,6,Chrisnovic N'sa,Chrisnovic,N'sa,90.00,35.00,20.00,0.55,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,5.00,3.00,4.00,4.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
I4,HFX Wanderers FC,m,5,Elton John,Elton,John,69.00,43.00,28.00,0.86,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,8.00,4.00,2.00,2.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00
I4,HFX Wanderers FC,g,21,Jan-Michael Williams,Jan-Michael,Williams,90.00,29.00,23.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,3.00,0.00,0.00
I4,HFX Wanderers FC,m,7,Juan Diego Gutiérrez,Juan,Diego Gutiérrez,12.00,14.00,6.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,2.00,0.00,0.00,3.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I4,HFX Wanderers FC,m,9,Kodai Iida,Kodai,Iida,78.00,45.00,25.00,0.60,4.00,0.50,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.00,1.00,10.00,7.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00
I4,HFX Wanderers FC,m,13,Kouamé Ouattara,Kouamé,Ouattara,63.00,28.00,24.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
I4,HFX Wanderers FC,f,10,Luis Alberto Perea,Luis,Alberto Perea,90.00,44.00,27.00,0.74,1.00,0.00,0.00,3.00,1.00,3.00,2.00,2.00,1.00,2.00,0.00,10.00,6.00,0.00,0.00,1.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00
I4,HFX Wanderers FC,f,12,Mohamed Kourouma,Mohamed,Kourouma,90.00,74.00,39.00,0.74,8.00,0.00,0.00,2.00,0.00,3.00,0.00,1.00,2.00,4.00,2.00,14.00,8.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
I4,HFX Wanderers FC,d,20,Ndzemdzela Langwa,Ndzemdzela,Langwa,90.00,74.00,36.00,0.56,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,8.00,5.00,23.00,15.00,1.00,1.00,1.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00
